customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST-00001,female,0,yes,no,38,yes,no,fiber-optic,no,no,no,no,yes,yes,one-year,yes,electronic-check,86.87,3370.07,1
CUST-00002,male,0,no,yes,53,yes,yes,fiber-optic,no,no,yes,no,yes,yes,two-year,yes,bank-transfer-automatic,64.62,3497.81,1
CUST-00003,male,0,yes,no,33,yes,yes,fiber-optic,yes,yes,yes,no,yes,no,two-year,yes,credit-card-automatic,99.0,3297.76,0
CUST-00004,female,0,no,no,30,yes,no,dsl,no,yes,no,no,no,yes,one-year,no,bank-transfer-automatic,56.33,1652.58,0
CUST-00005,female,0,yes,no,58,yes,no,dsl,yes,no,yes,no,no,yes,one-year,yes,bank-transfer-automatic,53.86,3092.35,0
CUST-00006,male,1,yes,no,57,yes,yes,fiber-optic,no,yes,no,no,no,yes,one-year,no,mailed-check,81.06,4497.14,0
CUST-00007,female,0,yes,no,15,yes,no,fiber-optic,no,no,no,yes,no,yes,two-year,no,electronic-check,76.07,1137.1,0
CUST-00008,male,0,yes,yes,60,no,no-phone-service,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,one-year,yes,credit-card-automatic,18.0,1073.72,0
CUST-00009,female,0,no,no,24,yes,no,fiber-optic,no,no,no,no,yes,yes,month-to-month,no,electronic-check,66.49,1492.45,1
CUST-00010,female,1,yes,yes,10,yes,no,dsl,yes,yes,no,no,yes,no,month-to-month,yes,credit-card-automatic,70.84,885.71,0
CUST-00011,male,0,no,no,64,yes,yes,fiber-optic,no,yes,yes,yes,no,no,one-year,yes,mailed-check,82.52,5323.0,0
CUST-00012,male,0,yes,yes,18,yes,yes,fiber-optic,yes,no,no,yes,no,yes,two-year,yes,electronic-check,83.87,1446.63,0
CUST-00013,male,0,yes,yes,15,yes,yes,dsl,no,yes,yes,no,no,no,month-to-month,yes,mailed-check,64.76,1125.46,0
CUST-00014,male,1,yes,no,20,yes,no,dsl,yes,no,no,yes,no,yes,two-year,yes,electronic-check,65.45,1271.8,1
CUST-00015,male,0,yes,no,36,no,no-phone-service,fiber-optic,no,yes,no,yes,yes,no,month-to-month,no,bank-transfer-automatic,74.52,2745.0,0
CUST-00016,male,0,no,no,12,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,month-to-month,yes,bank-transfer-automatic,25.38,311.13,0
CUST-00017,male,0,no,yes,12,yes,no,fiber-optic,no,no,no,no,yes,yes,two-year,yes,mailed-check,93.87,1091.81,0
CUST-00018,female,1,yes,no,29,yes,yes,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,two-year,no,credit-card-automatic,26.02,729.31,0
CUST-00019,male,0,no,yes,16,yes,yes,fiber-optic,yes,no,yes,yes,no,no,one-year,no,bank-transfer-automatic,80.08,1389.03,1
CUST-00020,female,0,no,yes,14,yes,yes,fiber-optic,no,no,yes,no,no,no,two-year,no,electronic-check,65.22,978.8,0
CUST-00021,male,1,no,no,66,yes,yes,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,two-year,no,credit-card-automatic,18.0,1178.82,0
CUST-00022,female,0,no,yes,43,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,two-year,yes,bank-transfer-automatic,20.82,741.49,0
CUST-00023,female,0,no,no,1,yes,no,dsl,no,yes,no,no,yes,yes,two-year,yes,electronic-check,74.41,97.24,0
CUST-00024,male,0,no,yes,8,no,no-phone-service,dsl,no,yes,yes,yes,yes,no,month-to-month,yes,bank-transfer-automatic,61.93,401.95,0
CUST-00025,male,0,no,yes,59,yes,no,dsl,no,no,no,no,no,yes,month-to-month,yes,electronic-check,47.81,2861.18,0
CUST-00026,male,0,no,no,20,yes,yes,dsl,yes,yes,no,no,no,no,month-to-month,no,credit-card-automatic,66.17,1269.85,0
CUST-00027,female,0,no,yes,11,no,no-phone-service,fiber-optic,no,yes,no,no,no,no,month-to-month,no,bank-transfer-automatic,73.53,763.12,1
CUST-00028,male,0,yes,no,48,yes,yes,dsl,no,yes,no,no,no,no,month-to-month,no,electronic-check,66.71,3154.22,1
