feature,mean_abs_shap
categorical__contract_type_month-to-month,0.49210562462022056
numeric__tenure_months,0.4915381551367435
categorical__internet_service_fiber-optic,0.2725575776490383
categorical__online_security_no,0.22532692888457087
numeric__monthly_charges,0.21263933694929868
categorical__tech_support_no,0.16719069917800947
categorical__contract_type_two-year,0.15763907334132815
categorical__paperless_billing_no,0.1347830827118276
categorical__payment_method_electronic-check,0.13279937430706631
numeric__total_charges,0.11870456977007424
categorical__multiple_lines_no,0.11548697632690602
categorical__online_backup_no,0.07450579715881614
categorical__streaming_movies_yes,0.06793325464068914
numeric__senior_citizen,0.05850681519758656
categorical__streaming_tv_yes,0.046946049603552094
categorical__dependents_no,0.04430118937164225
categorical__paperless_billing_yes,0.02744982054207941
categorical__internet_service_no,0.02061921623963863
categorical__contract_type_one-year,0.016206817758944822
categorical__streaming_movies_no,0.009767658123798893
categorical__gender_female,0.006360895780031569
categorical__tech_support_yes,0.0040039355047745626
categorical__internet_service_dsl,0.0035870510920649407
categorical__online_backup_yes,0.0023254405122250343
categorical__payment_method_mailed-check,0.002213646293617784
categorical__multiple_lines_yes,0.0019760066057438945
categorical__device_protection_yes,0.0018999236144125438
categorical__dependents_yes,0.0016804888885701078
categorical__phone_service_no,0.0015985647034831294
categorical__payment_method_credit-card-automatic,7.491955957375463e-05
categorical__gender_male,0.0
categorical__partner_no,0.0
categorical__partner_yes,0.0
categorical__phone_service_yes,0.0
categorical__online_security_no-internet-service,0.0
categorical__online_security_yes,0.0
categorical__multiple_lines_no-phone-service,0.0
categorical__tech_support_no-internet-service,0.0
categorical__device_protection_no-internet-service,0.0
categorical__online_backup_no-internet-service,0.0
categorical__device_protection_no,0.0
categorical__streaming_movies_no-internet-service,0.0
categorical__streaming_tv_no-internet-service,0.0
categorical__streaming_tv_no,0.0
categorical__payment_method_bank-transfer-automatic,0.0
