threshold,precision,recall,f1
0.2,0.4826,0.8623,0.6189
0.21,0.489,0.8552,0.6222
0.22,0.4946,0.8452,0.624
0.23,0.5017,0.8388,0.6279
0.24,0.5061,0.8281,0.6282
0.25,0.5098,0.8174,0.6279
0.26,0.5166,0.8096,0.6307
0.27,0.5212,0.7989,0.6308
0.28,0.5272,0.7867,0.6314
0.29,0.53,0.7746,0.6294
0.3,0.5368,0.7639,0.6306
0.31,0.5459,0.7546,0.6335
0.32,0.5559,0.7411,0.6353
0.33,0.5612,0.729,0.6342
0.34,0.5731,0.7183,0.6375
0.35,0.5788,0.7047,0.6356
0.36,0.5855,0.6933,0.6349
0.37,0.59,0.6876,0.635
0.38,0.5961,0.6812,0.6358
0.39,0.6019,0.6676,0.6331
0.4,0.61,0.6526,0.6306
0.41,0.6113,0.6327,0.6218
0.42,0.6199,0.6234,0.6216
0.43,0.632,0.6198,0.6259
0.44,0.6394,0.607,0.6228
0.45,0.6461,0.5963,0.6202
0.46,0.6533,0.5806,0.6148
0.47,0.6573,0.5649,0.6076
0.48,0.6621,0.5521,0.6021
0.49,0.6681,0.5399,0.5972
0.5,0.6691,0.5264,0.5892
0.51,0.6711,0.5093,0.5791
0.52,0.6751,0.495,0.5712
0.53,0.6808,0.4807,0.5635
0.54,0.6878,0.465,0.5549
0.55,0.6876,0.4458,0.5409
0.56,0.6991,0.4358,0.5369
0.57,0.7019,0.4215,0.5267
0.58,0.7016,0.4058,0.5142
0.59,0.7111,0.3916,0.5051
0.6,0.7199,0.3759,0.4939
0.61,0.724,0.3631,0.4836
0.62,0.7293,0.3459,0.4693
0.63,0.7413,0.3352,0.4617
0.64,0.7575,0.3252,0.4551
0.65,0.7666,0.3138,0.4453
0.66,0.7729,0.301,0.4333
0.67,0.7802,0.286,0.4186
0.68,0.7875,0.2696,0.4017
0.69,0.8036,0.2568,0.3892
0.7,0.8067,0.2411,0.3712
0.71,0.809,0.2175,0.3429
0.72,0.82,0.2047,0.3276
0.73,0.8287,0.1933,0.3135
0.74,0.8527,0.1776,0.294
0.75,0.8686,0.1698,0.284
0.76,0.8765,0.1569,0.2662
0.77,0.8909,0.1398,0.2417
0.78,0.8878,0.1241,0.2178
0.79,0.9006,0.1098,0.1958
0.8,0.8867,0.0949,0.1714
